City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Albany,US,42.6001,-73.9662,34.88,54,42,1.99,scattered clouds
80,Norman Wells,CA,65.282,-126.8329,-12.96,77,40,2.3,scattered clouds
81,Saint-Philippe,RE,-21.3585,55.7679,81.95,91,96,21.39,moderate rain
82,Srednekolymsk,RU,67.45,153.6833,-18.51,97,96,4.47,overcast clouds
83,Buala,SB,-8.145,159.5921,82.17,82,100,6.98,light rain
84,Dwarka,IN,22.2394,68.9678,71.2,75,1,7.4,clear sky
85,Nola,IT,40.922,14.5329,48.54,48,3,5.99,clear sky
86,Saiha,IN,22.4833,92.9667,52.86,61,60,3.04,broken clouds
87,Ancud,CL,-41.8697,-73.8203,65.73,81,100,8.57,overcast clouds
88,Barra Patuca,HN,15.8,-84.2833,79.43,66,14,11.07,few clouds
89,Sulangan,PH,11.1373,123.7228,79.61,79,99,12.44,overcast clouds
90,San Nicolas,PH,18.1725,120.5953,69.71,94,20,3.44,few clouds
91,Itapora,BR,-22.0799,-54.7874,81.07,60,94,5.37,overcast clouds
92,Pevek,RU,69.7008,170.3133,-12.44,86,98,3.49,overcast clouds
93,Fuerte Olimpo,PY,-21.0415,-57.8738,91.65,38,90,6.76,overcast clouds
94,Tiksi,RU,71.6872,128.8694,-13.72,99,100,4.5,overcast clouds
95,Clyde River,CA,70.4692,-68.5914,-18.17,63,100,4.61,overcast clouds
96,Merauke,ID,-8.4667,140.3333,75.13,90,100,10.22,light rain
97,Kutum,SD,14.2,24.6667,58.69,22,5,6.64,clear sky
98,Fairbanks,US,64.8378,-147.7164,-4.4,74,20,0.0,few clouds
99,Champerico,GT,14.3,-91.9167,85.77,54,1,12.15,clear sky
100,Vaini,TO,-21.2,-175.2,84.36,74,20,6.91,few clouds
101,Yellowknife,CA,62.456,-114.3525,-17.59,73,0,8.05,clear sky
102,Kudahuvadhoo,MV,2.6708,72.8944,82.71,77,17,15.35,few clouds
103,Cidreira,BR,-30.1811,-50.2056,74.32,67,8,9.28,clear sky
104,Kedrovyy,RU,56.1667,91.8167,-10.79,94,100,3.2,overcast clouds
105,Bogotol,RU,56.2078,89.5342,8.74,92,100,4.94,overcast clouds
106,Faanui,PF,-16.4833,-151.75,80.53,76,9,19.35,light rain
107,Liberal,US,37.0431,-100.921,41.27,36,20,17.27,few clouds
108,Mar Del Plata,AR,-38.0023,-57.5575,84.22,67,0,15.01,clear sky
109,Eresos,GR,39.1667,25.9333,54.91,77,100,19.62,overcast clouds
